Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Retirement Systems Of Alabama,"7,635,216",0.05,"1,091.8","(79,674)",(1.03),9/30/22,13F,Very Low  ,15.47,Active    ,"22,837.79",Montgomery,AL,USA,Growth,Large Cap ,Government Pension Sponsors,,
Jane Street Group LLC,"7,587,350",0.05,"1,085.0","3,114,825",69.64,9/30/22,13F,High      ,154.67,Passive   ,"26,260.56",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
City National Rochdale LLC,"7,558,067",0.05,"1,080.8","46,434",0.62,9/30/22,13F,Very Low  ,16.09,Active    ,"23,857.13",New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,1,
Royal London Asset Management Ltd.,"7,406,451",0.05,"1,059.1","(262,474)",(3.42),9/30/22,13F,Very Low  ,14.79,Active    ,"59,262.13",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,5,
BNPP Asset Management Holding,"7,204,685",0.05,"1,030.3","533,705",8.00,9/30/22,Multiple,Low       ,32.98,Active    ,"69,439.42",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,27,
Asset Management One Co. Ltd.,"7,195,768",0.05,"1,029.0","(80,887)",(1.11),9/30/22,Aggregated 13F,Very Low  ,6.82,Active    ,"24,040.10",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,6,
STRS Ohio,"7,107,688",0.04,"1,016.4","(373,342)",(4.99),12/31/22,13F,Low       ,24.16,Active    ,"24,091.94",Columbus,OH,USA,Growth,Large Cap ,Government Pension Sponsors,,
Parnassus Investments LLC,"6,990,972",0.04,999.7,"(19,603)",(0.28),12/31/22,13F,Low       ,34.25,Active    ,"42,089.82",San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,3,
Aviva Investors Global Services Ltd.,"6,908,913",0.04,988.0,"(336,602)",(4.65),12/31/22,Aggregated 13F,Low       ,24.04,Active    ,"56,123.01",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,13,
Swedbank Robur Fonder AB,"6,814,751",0.04,974.5,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,13.26,Active    ,"76,085.28",Sundbyberg,,Sweden,Growth,Large Cap ,Traditional Investment Managers,8,
Mariner LLC,"6,781,967",0.04,969.8,"346,035",5.38,9/30/22,13F,Very Low  ,10.03,Active    ,"15,092.51",Overland Park,KS,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Tennessee Department of Treasury, Investment Division","6,751,877",0.04,965.5,"393,070",6.18,9/30/22,13F,Low       ,29.85,Active    ,"18,632.80",Nashville,TN,USA,Growth,Large Cap ,Educational/Cultural Endowments,,
Luther King Capital Management Corp.,"6,700,478",0.04,958.2,"(18,563)",(0.28),9/30/22,13F,Very Low  ,10.58,Active    ,"19,551.93",Fort Worth,TX,USA,Growth,Large Cap ,Traditional Investment Managers,3,
North Carolina Department of State Treasurer,"6,675,446",0.04,954.6,"16,728",0.25,9/30/22,13F,,,,"16,841.46",Raleigh,NC,USA,Growth,Large Cap ,State Owned Shares,,
William Blair Investment Management LLC,"6,642,097",0.04,949.8,440,0.01,9/30/22,13F,Low       ,24.12,Active    ,"59,102.42",Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
ClearArc Capital Inc.,"6,622,493",0.04,947.0,"(93,289)",(1.39),12/31/22,13F,Very Low  ,10.55,Active    ,"14,120.60",Cincinnati,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Allspring Global Investments LLC,"6,554,505",0.04,937.3,"(623,830)",(8.69),12/31/22,13F,Low       ,33.42,Active    ,"66,623.04",Charlotte,NC,USA,Growth,Large Cap ,Traditional Investment Managers,28,
KeyBank NA,"6,467,383",0.04,924.8,"(79,179)",(1.21),9/30/22,13F,Very Low  ,8.31,Active    ,"13,587.48",Cleveland,OH,USA,Growth,Large Cap ,Banks/Investment Banks,,
PanAgora Asset Management Inc.,"6,430,604",0.04,919.6,"(81,281)",(1.25),9/30/22,13F,Moderate  ,54.56,Active    ,"16,042.82",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
INTECH Investment Management LLC,"6,378,058",0.04,912.1,"(1,831,870)",(22.31),9/30/22,13F,Low       ,42.95,Active    ,"15,132.52",West Palm Beach,FL,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Susquehanna International Group LLP,"6,354,377",0.04,908.7,"1,070,083",20.25,9/30/22,Aggregated 13F,Moderate  ,89.43,Active    ,"33,265.04",Bala Cynwyd,PA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Fiduciary Trust Co. International,"6,189,734",0.04,885.1,"(71,119)",(1.14),9/30/22,13F,Very Low  ,8.30,Active    ,"14,275.18",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
ZKB Asset Management,"6,011,833",0.04,859.7,"217,617",3.76,9/30/22,13F,Very Low  ,19.92,Active    ,"28,943.83",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,16,
Calamos Asset Management Inc.,"5,988,334",0.04,856.3,"(737,255)",(10.96),12/31/22,Aggregated 13F,Low       ,30.34,Active    ,"14,369.96",Naperville,IL,USA,Growth,Large Cap ,Traditional Investment Managers,17,
BNP Paribas Arbitrage S.N.C.,"5,812,255",0.04,831.2,"(3,961,528)",(40.53),9/30/22,13F,,,Active    ,"34,192.28",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,,
Lord Abbett & Co. LLC,"5,750,932",0.04,822.4,"36,439",0.64,9/30/22,13F,Moderate  ,62.79,Active    ,"29,127.31",Jersey City,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,11,
Nomura Asset Management Co. Ltd.,"5,735,521",0.04,820.2,"48,666",0.86,9/30/22,13F,Very Low  ,6.69,Passive   ,"24,397.57",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,21,
Rockefeller & Co. LLC,"5,570,011",0.04,796.5,"401,222",7.76,9/30/22,13F,Very Low  ,18.12,Active    ,"17,279.06",New York,NY,USA,Growth,Large Cap ,Family Offices/Trusts,4,
Nuveen Investments Inc.,"5,542,084",0.03,792.5,"405,093",7.89,9/30/22,Aggregated 13F,Low       ,43.09,Active    ,"33,255.00",Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,12,
MetLife Investment Management LLC,"5,516,179",0.03,788.8,"(144,851)",(2.56),9/30/22,Aggregated 13F,Very Low  ,5.49,Active    ,"15,095.52",Whippany,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Brown Advisory Inc.,"5,503,001",0.03,786.9,"3,867",0.07,9/30/22,Aggregated 13F,Very Low  ,15.84,Active    ,"56,906.30",Baltimore,MD,USA,Growth,Large Cap ,Traditional Investment Managers,5,
Teacher Retirement System of Texas,"5,398,516",0.03,772.0,"(331,568)",(5.79),9/30/22,13F,Low       ,44.96,Active    ,"16,497.62",Austin,TX,USA,Growth,Large Cap ,Government Pension Sponsors,,
SEB Investment Management AB,"5,388,394",0.03,770.5,"(311,786)",(5.47),9/30/22,13F,Low       ,30.53,Active    ,"41,600.42",Stockholm,,Sweden,Growth,Large Cap ,Traditional Investment Managers,15,
Fred Alger Management LLC,"5,384,413",0.03,770.0,"(432,184)",(7.43),9/30/22,13F,Moderate  ,51.50,Active    ,"21,400.45",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,16,
Thrivent Investment Management Inc.,"5,383,961",0.03,769.9,"53,802",1.01,9/30/22,13F,Low       ,38.59,Active    ,"37,034.52",Minneapolis,MN,USA,Growth,Large Cap ,Traditional Investment Managers,21,
Handelsbanken Asset Management,"5,305,800",0.03,758.7,"(6,869)",(0.13),12/31/22,Aggregated 13F,Low       ,23.44,Passive   ,"51,647.79",Stockholm,,Sweden,Growth,Large Cap ,Traditional Investment Managers,6,
Mackenzie Financial Corp.,"5,195,413",0.03,742.9,"(241,771)",(4.45),9/30/22,13F,Low       ,23.59,Active    ,"78,419.75",Toronto,ON,Canada,Growth,Large Cap ,Hedge Fund Managers (<5% stake),41,
Cambridge Investment Research Advisors Inc.,"5,169,709",0.03,739.3,"10,207",0.20,9/30/22,13F,Low       ,22.90,Active    ,"7,329.42",Fairfield,IA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Marshall Wace LLP,"4,984,386",0.03,712.8,"(311,065)",(5.87),9/30/22,13F,High      ,123.62,Active    ,"35,847.08",London,,United Kingdom,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Janney Montgomery Scott LLC,"4,938,361",0.03,706.2,"4,938,361",,9/30/22,13F,Low       ,23.53,Active    ,"13,624.02",Philadelphia,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Flossbach & Von Storch Vermoegensmanagement AG,"4,937,282",0.03,706.0,"(1,163,927)",(19.08),9/30/22,13F,Low       ,24.57,Active    ,"42,896.64",Cologne,,Germany,Growth,Large Cap ,Traditional Investment Managers,6,
Citadel Advisors LLC,"4,899,015",0.03,700.6,"4,481,851","1,074.36",9/30/22,13F,High      ,150.29,Active    ,"76,343.42",Miami,FL,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
CapFinancial Partners LLC,"4,761,847",0.03,680.9,"499,462",11.72,9/30/22,13F,Very Low  ,18.15,Active    ,"10,410.60",Raleigh,NC,USA,Growth,Large Cap ,Family Offices/Trusts,,
SunAmerica Asset Management LLC,"4,713,976",0.03,674.1,"(180,855)",(3.70),9/30/22,13F,Very Low  ,9.26,Active    ,"18,090.52",Jersey City,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,11,
"Michigan Department of Treasury, Bureau of Investments","4,694,425",0.03,671.3,"(181,000)",(3.71),12/31/22,13F,Low       ,23.84,Active    ,"12,775.15",Lansing,MI,USA,Growth,Large Cap ,Government Pension Sponsors,,
Everett Harris & Co.,"4,674,177",0.03,668.4,"(93,993)",(1.97),12/31/22,13F,Very Low  ,2.61,Active    ,"5,696.14",Los Angeles,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
NISA Investment Advisors LLC,"4,632,797",0.03,662.5,"(26,429)",(0.57),9/30/22,13F,Low       ,21.04,Active    ,"11,884.19",St. Louis,MO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Candriam S.C.A.,"4,626,608",0.03,661.6,"1,437,985",45.10,9/30/22,13F,Low       ,30.25,Active    ,"32,321.89",Strassen,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,18,
London Co. of Virginia LLC,"4,613,356",0.03,659.7,"118,241",2.63,9/30/22,13F,Very Low  ,10.17,Active    ,"17,596.03",Richmond,VA,USA,Growth,Large Cap ,Traditional Investment Managers,2,
"Arthur D. Levinson
Independent Non-Executive Chairman of the Board","4,588,724",0.03,656.2,0,,1/9/23,Proxy,,,,,,,USA,,,Individuals/Insiders,,"1,685"
Glenmede Trust Co. NA,"4,557,405",0.03,651.7,"10,317",0.23,9/30/22,13F,Very Low  ,19.54,Active    ,"15,141.35",Philadelphia,PA,USA,Growth,Large Cap ,Family Offices/Trusts,2,
I.G. Investment Management Ltd.,"4,552,903",0.03,651.1,"(82,562)",(1.78),9/30/22,Multiple,Low       ,26.24,Active    ,"28,788.64",Winnipeg,MB,Canada,Growth,Large Cap ,Traditional Investment Managers,23,
National Bank Investments Inc.,"4,494,537",0.03,642.7,"2,719,120",153.15,12/31/22,13F,Moderate  ,72.19,Active    ,"38,673.72",Montreal,QC,Canada,GARP,Large Cap ,Traditional Investment Managers,1,
1832 Asset Management L.P.,"4,403,848",0.03,629.8,"(243,445)",(5.24),9/30/22,13F,Low       ,48.68,Active    ,"62,962.48",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,32,
Arizona State Retirement System,"4,399,551",0.03,629.1,"(77,620)",(1.73),9/30/22,13F,Very Low  ,3.51,Active    ,"10,796.56",Phoenix,AZ,USA,Growth,Large Cap ,Government Pension Sponsors,,
Commerce Investment Advisors Inc.,"4,339,556",0.03,620.6,"76,351",1.79,9/30/22,13F,Very Low  ,12.44,Active    ,"10,400.19",Kansas City,MO,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Eurizon Capital SGR SpA,"4,338,168",0.03,620.4,(421),(0.01),11/30/22,Aggregated Mutual Funds,Low       ,29.99,Active    ,"24,363.65",Milan,MI,Italy,Growth,Large Cap ,Traditional Investment Managers,54,
Cincinnati Financial Corp.,"4,309,016",0.03,616.2,"(237,984)",(5.23),9/30/22,Aggregated 13F,Very Low  ,2.08,Active    ,"9,294.29",Fairfield,OH,USA,Growth,Large Cap ,Insurance Companies,,
Acadian Asset Management LLC,"4,226,374",0.03,604.4,"53,954",1.29,9/30/22,13F,Moderate  ,53.86,Active    ,"27,450.56",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,4,
Jensen Investment Management Inc.,"4,192,474",0.03,599.5,"(15,300)",(0.36),9/30/22,13F,Very Low  ,11.84,Active    ,"13,890.11",Lake Oswego,OR,USA,Growth,Large Cap ,Traditional Investment Managers,4,
Amalgamated Bank's Trust & Investment Services Group,"4,170,808",0.03,596.4,"105,099",2.59,9/30/22,13F,Very Low  ,7.82,Active    ,"11,615.00",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Performance Wealth Partners LLC,"4,140,307",0.03,592.1,"(73,823)",(1.75),12/31/22,13F,,,Active    ,"1,225.52",Hinsdale,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Polar Capital Holdings PLC,"4,133,694",0.03,591.1,"(117,053)",(2.75),9/30/22,13F,Moderate  ,57.62,Active    ,"19,899.77",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,2,
Ninety One UK Ltd.,"4,050,700",0.03,579.3,"(628,679)",(13.44),9/30/22,Aggregated 13F,Low       ,26.47,Active    ,"67,250.95",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,10,
Bank Julius Bär & Co. AG,"3,989,145",0.03,570.4,"57,068",1.45,12/31/22,13F,Low       ,24.30,Active    ,"18,610.98",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,8,
CIBC Asset Management Inc.,"3,971,595",0.03,567.9,"155,251",4.07,9/30/22,13F,Low       ,25.69,Active    ,"38,441.34",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,32,
Deutsche Bank AG,"3,971,581",0.03,567.9,"(181,033)",(4.36),9/30/22,13F,Low       ,30.27,Active    ,"44,737.71",Frankfurt am Main,,Germany,Blend,Large Cap ,Traditional Investment Managers,4,
Gateway Investment Advisers LLC,"3,960,437",0.03,566.3,"(198,870)",(4.78),12/31/22,13F,Very Low  ,8.29,Active    ,"8,484.43",Cincinnati,OH,USA,Growth,Large Cap ,Traditional Investment Managers,6,
Natixis SA,"3,937,966",0.02,563.1,"(3,106,931)",(44.10),9/30/22,13F,High      ,111.78,Active    ,"25,458.44",Paris,,France,Growth,Large Cap ,Banks/Investment Banks,,
SEI Investments Co.,"3,910,572",0.02,559.2,"539,893",16.02,9/30/22,13F,Low       ,30.83,Active    ,"52,876.99",Oaks,PA,USA,Growth,Large Cap ,Traditional Investment Managers,29,
Morgan Stanley Investment Management Inc.,"3,889,809",0.02,556.2,"(70,297)",(1.78),9/30/22,Multiple,Low       ,24.34,Active    ,"134,377.17",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,20,
Forsta AP-fonden,"3,860,700",0.02,552.1,"100,500",2.67,9/30/22,13F,Low       ,23.54,Active    ,"19,150.37",Stockholm,,Sweden,Growth,Large Cap ,Government Pension Sponsors,,
GQG Partners LLC,"3,785,708",0.02,541.4,"3,785,708",,9/30/22,13F,Moderate  ,79.76,Active    ,"73,034.33",Fort Lauderdale,FL,USA,GARP,Large Cap ,Traditional Investment Managers,3,
DNB Asset Management AS,"3,756,338",0.02,537.2,"106,968",2.93,12/31/22,13F,Low       ,32.15,Active    ,"29,288.66",Oslo,,Norway,Growth,Large Cap ,Traditional Investment Managers,12,
Capfi Delen Asset Management NV,"3,676,810",0.02,525.8,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,13.46,Active    ,"18,146.63",Antwerp,,Belgium,Growth,Large Cap ,Traditional Investment Managers,13,
Scotia Administradora General de Fondos Chile SA,"3,624,796",0.02,518.3,"(1,272)",(0.04),9/30/22,13F,Low       ,24.70,Active    ,813.83,Santiago,,Chile,Blend,Large Cap ,Traditional Investment Managers,,
United Capital Financial Advisers LLC,"3,614,476",0.02,516.9,"(421,746)",(10.45),9/30/22,13F,Very Low  ,15.54,Active    ,"7,963.52",Newport Beach,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Länsförsäkringar Fondförvaltning Aktiebolag,"3,543,082",0.02,506.7,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,7.34,Active    ,"17,131.71",Stockholm,,Sweden,Growth,Large Cap ,Traditional Investment Managers,5,
Mercer Global Investments Europe Limited,"3,511,188",0.02,502.1,0,,6/30/22,Aggregated Mutual Funds,,,Active    ,"24,889.65",Dublin,,Ireland,Growth,Large Cap ,Traditional Investment Managers,10,
Mercer Global Advisors Inc.,"3,495,046",0.02,499.8,"126,694",3.76,9/30/22,Aggregated 13F,Very Low  ,18.03,Active    ,"5,672.36",Denver,CO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Assenagon Asset Management S.A.,"3,494,706",0.02,499.7,"(700,186)",(16.69),12/31/22,13F,High      ,124.52,Passive   ,"31,336.76",Senningerberg,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,39,
Millennium Management LLC,"3,490,094",0.02,499.1,"(326,893)",(8.56),9/30/22,Aggregated 13F,High      ,128.95,Active    ,"86,348.16",New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Westfield Capital Management Co. L.P.,"3,477,760",0.02,497.3,"(193,389)",(5.27),9/30/22,13F,Low       ,41.01,Active    ,"14,329.70",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,3,
Canada Pension Plan Investment Board,"3,467,062",0.02,495.8,"(1,263,423)",(26.71),9/30/22,13F,Low       ,38.28,Active    ,"79,484.87",Toronto,ON,Canada,Growth,Large Cap ,Government Pension Sponsors,,
Menora Mivtachim Pensions & Gemel Ltd.,"3,456,628",0.02,494.3,"(32,500)",(0.93),9/30/22,13F,Low       ,26.62,Active    ,"9,187.30",Ramat Gan,,Israel,Growth,Large Cap ,Corporate Pension Sponsors,,
Canadian Imperial Bank of Commerce,"3,429,653",0.02,490.4,"79,907",2.39,9/30/22,13F,Low       ,23.08,Active    ,"28,270.33",Toronto,ON,Canada,GARP,Large Cap ,Traditional Investment Managers,,
KLP Kapitalforvaltning AS,"3,420,592",0.02,489.1,"(103,800)",(2.95),9/30/22,Aggregated Mutual Funds,Very Low  ,12.64,Passive   ,"18,792.41",Oslo,,Norway,Growth,Large Cap ,Traditional Investment Managers,4,
Grantham Mayo Van Otterloo & Co. LLC,"3,417,518",0.02,488.7,"(807,971)",(19.12),9/30/22,13F,Low       ,44.60,Active    ,"29,488.94",Boston,MA,USA,GARP,Large Cap ,Traditional Investment Managers,6,
"Wilmington Trust Company, Banking & Trust Investments","3,406,848",0.02,487.2,"3,970",0.12,9/30/22,13F,Very Low  ,8.60,Active    ,"8,087.38",Wilmington,DE,USA,Growth,Large Cap ,Banks/Investment Banks,,
Natixis Advisors LLC,"3,390,401",0.02,484.8,"(471,627)",(12.21),12/31/22,Aggregated 13F,Low       ,23.17,Active    ,"24,084.78",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,11,
Public Sector Pension Investment Board,"3,383,164",0.02,483.8,"140,321",4.33,9/30/22,13F,Low       ,46.79,Active    ,"13,587.97",Montréal,QC,Canada,Growth,Large Cap ,Government Pension Sponsors,,
Danske Capital Denmark,"3,360,997",0.02,480.6,"(43,240)",(1.27),11/30/22,Aggregated Mutual Funds,Low       ,24.71,Active    ,"14,463.21",Kongens Lyngby,,Denmark,Growth,Large Cap ,Traditional Investment Managers,12,
Xponance Inc.,"3,349,195",0.02,478.9,"269,351",8.75,12/31/22,13F,Very Low  ,14.49,Active    ,"6,474.43",Philadelphia,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Numeric Investors LLC,"3,331,823",0.02,476.5,"(131,017)",(3.78),9/30/22,13F,Moderate  ,95.42,Active    ,"17,681.19",Boston,MA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Fourth Swedish National Pension Fund (AP4),"3,313,958",0.02,473.9,0,,9/30/22,13F,Very Low  ,18.04,Active    ,"20,191.93",Stockholm,,Sweden,Growth,Large Cap ,Government Pension Sponsors,,
Two Sigma Advisers LP,"3,304,900",0.02,472.6,"(295,800)",(8.22),9/30/22,13F,High      ,104.74,Active    ,"37,711.31",New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Fort Washington Investment Advisors Inc.,"3,302,623",0.02,472.3,"(59,259)",(1.76),12/31/22,13F,Very Low  ,18.65,Active    ,"13,043.89",Cincinnati,OH,USA,Blend,Large Cap ,Traditional Investment Managers,9,
"Wellcome Trust, Investment Division","3,300,000",0.02,471.9,0,,12/31/22,13F,Very Low  ,11.72,Active    ,"7,760.67",London,,United Kingdom,Growth,Large Cap ,VC/PE Firms (<5% stake),,
"Timothy D. Cook
CEO & Director","3,279,898",0.02,469.0,172,0.01,1/9/23,Proxy,,,,,,CA,USA,,,Individuals/Insiders,,
PineBridge Investments LLC,"3,247,345",0.02,464.4,"77,357",2.44,9/30/22,13F,Low       ,42.87,Active    ,"13,047.93",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,7,
Northwestern Mutual Wealth Management Co.,"3,247,034",0.02,464.3,"95,290",3.02,9/30/22,13F,Very Low  ,7.54,Active    ,"6,658.74",Milwaukee,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Scotiabank Global Banking and Markets Asset Management Division,"3,233,160",0.02,462.3,"(44,380)",(1.35),9/30/22,13F,Very Low  ,13.81,Active    ,"12,744.64",Toronto,ON,Canada,GARP,Large Cap ,Traditional Investment Managers,,
Zurich Insurance Group AG,"3,206,320",0.02,458.5,"249,800",8.45,9/30/22,13F,Moderate  ,58.29,Active    ,"6,876.51",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,,
Ignis Investment Services Ltd.,"3,179,054",0.02,454.6,0,,6/30/22,13F,Low       ,29.85,Active    ,"23,091.03",Glasgow,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,2,
